976,555
976,543
978,532
976,515
976,501
976,490
976,478
976,464
978,451
976,439
973,426
971,414
970,404
961,392
953,384
943,376
936,369
929,362
918,354
909,349
898,345
888,339
879,334
869,330
859,322
842,317
835,312
825,307
814,303
804,297
794,292
780,285
770,282
765,275
757,270
745,266
736,263
730,260
720,255
710,250
696,245
688,241
679,238
671,231
663,228
651,221
644,218
636,213
622,208
611,203
599,196
587,191
574,184
560,179
552,172
542,167
530,162
517,157
505,149
488,142
478,135
470,130
451,124
434,117
426,110
411,107
404,100
391,94
379,87
365,80
357,78
349,75
335,67
322,62
313,53
303,47
295,41
288,36
276,31
261,30
251,26
245,26
235,28
216,28
206,26
191,28
169,31
181,31
162,35
151,36
146,41
134,45
124,53
115,58
110,63
100,70
94,75
88,80
83,85
78,92
75,97
73,104
63,112
60,124
55,130
53,144
50,151
45,159
45,166
43,172
43,179
41,184
43,184
45,189
45,201
47,206
43,213
43,218
43,221
41,228
41,231
41,243
40,251
40,261
40,268
40,273
41,288
45,300
45,308
41,313
45,318
45,329
41,340
40,349
43,360
40,376
40,384
36,399
41,412
40,424
40,431
40,443
43,454
45,468
45,480
45,490
40,498
36,503
41,515
45,528
43,545
43,559
43,575
43,585
43,595
43,606
43,614
43,621
43,624
43,629
45,639
45,651
41,659
41,664
43,676
41,686
41,701
45,711
45,723
45,730
50,738
53,752
63,760
68,765
80,770
88,775
100,778
110,778
124,780
139,780
149,778
162,775
172,768
184,763
198,758
214,755
229,743
243,740
256,731
268,725
282,721
297,710
308,705
322,698
337,688
349,684
359,679
367,671
382,666
401,659
416,649
434,642
443,639
448,636
454,634
464,629
476,627
486,627
495,624
503,631
513,634
523,641
535,658
540,668
547,678
550,689
560,706
569,718
569,726
577,738
580,750
587,762
594,773
599,783
611,799
607,795
612,809
621,820
627,841
627,837
636,859
644,864
647,877
656,888
664,899
674,906
678,914
686,924
691,933
711,943
710,940
703,938
721,940
736,946
757,948
747,950
773,951
788,953
800,956
817,956
839,951
832,950
857,950
849,951
866,948
879,948
898,945
903,941
916,933
924,928
936,918
946,908
951,901
960,889
963,876
971,862
971,851
975,830
976,817
976,807
976,792
978,780
978,765
978,758
976,835
978,748
978,736
980,723
980,711
982,703
980,691
980,681
982,673
978,656
980,644
980,639
980,631
978,622
978,617
980,607
980,599
980,594
980,580
980,577
978,564
978,664
