936,553
935,542
935,528
935,520
935,508
935,498
935,478
933,458
926,444
919,431
913,421
906,414
896,407
888,397
876,392
862,379
842,370
822,360
807,354
795,347
782,337
765,332
747,320
728,310
711,305
698,297
684,290
671,283
658,273
647,266
634,263
621,258
607,250
594,243
574,236
567,226
553,223
538,213
520,204
506,198
496,193
486,186
476,182
464,177
446,171
433,162
416,152
399,146
382,135
369,130
352,122
342,115
332,109
322,105
315,102
302,99
288,92
276,88
261,85
243,85
231,78
221,75
201,75
194,77
184,78
171,83
162,88
147,95
130,105
122,115
115,122
107,137
104,146
102,162
95,182
88,206
87,218
83,231
80,246
77,270
80,283
70,297
70,307
70,320
68,330
68,345
68,357
68,374
70,387
68,401
68,414
68,428
68,439
68,453
73,464
73,471
73,485
73,495
73,515
73,535
73,559
75,572
75,594
77,612
77,627
77,653
77,673
82,700
94,716
97,721
114,726
135,723
154,726
171,721
191,716
214,706
236,696
261,686
275,674
285,674
298,668
322,659
335,653
355,642
362,639
382,632
402,626
411,616
429,616
439,609
459,602
493,595
513,594
527,599
537,609
543,616
553,626
564,639
572,659
584,679
592,693
604,715
614,728
619,741
627,755
634,773
644,790
653,809
659,824
673,841
681,851
691,862
698,871
705,877
715,888
728,891
741,901
753,908
762,904
778,908
788,908
805,904
825,904
842,901
854,898
872,884
886,877
909,861
919,841
923,824
929,804
923,783
926,760
933,730
933,710
929,693
926,674
923,654
926,634
929,621
933,599
933,585
933,572
